tau,agent,estimate
0.0533669923120631,A4,0.30721460962903324
0.0533669923120631,A4,0.30666247414483233
0.0533669923120631,A4,0.3069743037081486
0.0533669923120631,A4,0.30662596637797024
0.0533669923120631,A4,0.30637289108253885
0.0533669923120631,A4,0.3067571850061989
0.0533669923120631,A4,0.3070738083818558
0.0533669923120631,A4,0.30670340528731016
0.0533669923120631,A4,0.30636003293450786
0.0533669923120631,A4,0.306594252212343
0.0533669923120631,A4,0.30691216039205754
0.0533669923120631,A4,0.3066023897074967
0.0533669923120631,A4,0.30697760323623674
0.0533669923120631,A4,0.30697862096956346
0.0533669923120631,A4,0.30635562936800165
0.0533669923120631,A4,0.30637055443752154
0.0533669923120631,A4,0.30746121488206135
0.0533669923120631,A4,0.30709258044138743
0.0533669923120631,A5,0.240012481799022
0.0533669923120631,A5,0.23936118665666453
0.0533669923120631,A5,0.2395821159510924
0.0533669923120631,A5,0.2391898040353141
0.0533669923120631,A5,0.23953901488736254
0.0533669923120631,A5,0.23992055701997275
0.0533669923120631,A5,0.23933429058051425
0.0533669923120631,A5,0.23964603141917043
0.0533669923120631,A5,0.2396825748746512
0.0533669923120631,A5,0.23948288279713806
0.0533669923120631,A5,0.23949973099300462
0.0533669923120631,A5,0.23920878684731964
0.0533669923120631,A5,0.23938570505736248
0.0533669923120631,A5,0.23939647803163103
0.0533669923120631,A5,0.23988371186124463
0.0533669923120631,A5,0.23962715148317312
0.0533669923120631,A5,0.23967037791490525
0.0533669923120631,A5,0.23951131057251687
0.0533669923120631,A5,0.2393266472189807
0.0533669923120631,A5,0.23942426237516398
0.0533669923120631,A5,0.23949853214567624
0.0533669923120631,A5,0.23961333411902117
0.0533669923120631,A5,0.23935557359272666
0.0533669923120631,A5,0.2398652816988591
0.0533669923120631,A5,0.23963195521994085
0.0533669923120631,A5,0.23997939761557682
0.0533669923120631,A5,0.2397894146769441
0.0533669923120631,A5,0.2394756199118475
0.0533669923120631,A5,0.2393082125030313
0.0533669923120631,A5,0.23945304529217806
0.0533669923120631,A5,0.23939733118737358
0.0533669923120631,A5,0.23961596409199637
0.0533669923120631,A5,0.23930871307816856
0.0533669923120631,A5,0.23970747845028909
